standard_brand,url,views,engagement
EMINA,https://www.tiktok.com/@beatricesuhendii/video/7459671578415009042,4200000,2767
EMINA,https://www.tiktok.com/@haloakuririn/video/7466060590390234374,1076,31
EMINA,https://www.tiktok.com/@crumbliingdawn/video/7532067934693313798,21000,389
EMINA,https://www.tiktok.com/@skincarebyw/video/7506039101259402502,19700,2783
EMINA,https://www.youtube.com/watch?v=BVpjJpmq2XQ,1872,73
EMINA,https://www.tiktok.com/@nicoleparhamm/video/7465663937619528965,36900,2936
EMINA,https://www.tiktok.com/@arasheil/video/7530435901499968785,38100,1280
EMINA,https://www.tiktok.com/@vonvon_7/video/7532469269225934136,115000,701
EMINA,https://www.instagram.com/p/DI3KmjszyH1,17262,287
EMINA,https://www.tiktok.com/@flaviakris/video/7466412190099049746,42900,1770
EMINA,https://www.instagram.com/p/DOa8-qZkVNK,13994,513
EMINA,https://www.tiktok.com/@risyabrabo9/video/7530898900602080520,105300,7715
EMINA,https://www.youtube.com/watch?v=mnMHDcDp458,11996,244
EMINA,https://www.tiktok.com/@glazynadyy/video/7552845707422600459,96,372
EMINA,https://www.tiktok.com/@maritzanaa/video/7535674811113032966,7757,257
EMINA,https://www.instagram.com/p/DNI63Omyxpg,12031,69
EMINA,https://www.instagram.com/p/DNUs6m0y3j8,10822,91
EMINA,https://www.tiktok.com/@amandbt/video/7530941108814155014,50300,752
EMINA,https://www.tiktok.com/@finaziia/video/7467873908444695815,302200,1894
EMINA,https://www.youtube.com/watch?v=7ao0ncS-Ddk,1347,44
EMINA,https://www.tiktok.com/@valeriepola/video/7530895731515854098,143700,321
EMINA,https://www.instagram.com/p/DMJnnBYT2H5,1569389,1382
EMINA,https://www.tiktok.com/@mutiaracosmetics_id/video/7538361403464273208,1693,30
EMINA,https://www.youtube.com/watch?v=IhsNdEXnK_8,2360,83
EMINA,https://www.youtube.com/watch?v=YtdI4rXs66U,8265,156
EMINA,https://www.youtube.com/watch?v=1ggx2uOlNFc,3230,104
EMINA,https://www.tiktok.com/@funskincare/video/7531962604902747408,2027,74
EMINA,https://www.tiktok.com/@naykillas/video/7475611747546631429,388400,3476
EMINA,https://www.tiktok.com/@skincarebyjessi/video/7520244333497437496,662800,8421
EMINA,https://www.tiktok.com/@racuninskincare/video/7532087660953865473,59400,5177
EMINA,https://www.youtube.com/watch?v=WzsWCCcGn4Q,3135,126
EMINA,https://www.tiktok.com/@dheadelavega/video/7460828572723334418,7495,73
EMINA,https://www.youtube.com/watch?v=gaBJ5tdJ4E4,4327,188
EMINA,https://www.tiktok.com/@soufberry/video/7482417688682286391,40200,10151
EMINA,https://www.tiktok.com/@mbakpieee/video/7567245032923696392,2712,182
EMINA,https://www.youtube.com/watch?v=y8Ru5NpGadM,2119,72
EMINA,https://www.youtube.com/watch?v=R5tVGsI1c3Q,463,35
EMINA,https://www.tiktok.com/@alisyaays/video/7507528878399982866,52800,3025
EMINA,https://www.youtube.com/watch?v=rZv49eXQ0TY,3255,111
EMINA,https://www.instagram.com/p/DMmtcqoR8jQ,10268,143
EMINA,https://www.youtube.com/watch?v=y8dKRZfF9SA,974,22
EMINA,https://www.tiktok.com/@tellaaatella/video/7460121413706435846,105200,316
EMINA,https://www.tiktok.com/@verinanath/video/7532095571830525189,2335,40
EMINA,https://www.youtube.com/watch?v=drN5z5uOxig,3402,119
EMINA,https://www.tiktok.com/@azahhrr/video/7468155973190814981,15900,518
EMINA,https://www.instagram.com/p/DNNefH2PrUy,14472,268
EMINA,https://www.youtube.com/watch?v=X4uswQRWdaY,1291,90
EMINA,https://www.tiktok.com/@angelinaarvianti/video/7535302428955135237,3600000,1184
EMINA,https://www.youtube.com/watch?v=s_IHybickJo,2057,56
EMINA,https://www.tiktok.com/@christineyuwanti/video/7485720635696614662,4870,65
EMINA,https://www.youtube.com/watch?v=3P5LztEgVTo,21028,483
EMINA,https://www.tiktok.com/@caambucket/video/7498626125912919304,1077,56
EMINA,https://www.youtube.com/watch?v=n-KGHNVAVc4,1474,68
EMINA,https://www.tiktok.com/@crumbliingdawn/video/7563659549643787528,3443,224
EMINA,https://www.tiktok.com/@depreccants/video/7463524885541768455,9041,136
EMINA,https://www.instagram.com/p/DMiBe0UynGN,9500,1140
EMINA,https://www.tiktok.com/@skincarebyw/video/7463058511837105413,330800,6779
EMINA,https://www.instagram.com/p/DNN1gjASv27,5105,100
EMINA,https://www.youtube.com/watch?v=LCX9UnHcruk,5940,194
EMINA,https://www.tiktok.com/@andrewxbarrett/video/7479807355044007173,137400,3087
EMINA,https://www.youtube.com/watch?v=3ODoHMTvRSo,2747,91
EMINA,https://www.youtube.com/watch?v=dqSYl9cWnL0,3754,132
EMINA,https://www.tiktok.com/@lelatresna1010/video/7483024146549558546,1098,90
EMINA,https://www.instagram.com/p/DI73nGTJJSG,146961,3844
EMINA,https://www.youtube.com/watch?v=-ndxKZddvjY,1446,60
EMINA,https://www.instagram.com/p/DGP6M81BLEC,18059,686
EMINA,https://www.tiktok.com/@qiiiieun/video/7466292283445349637,14800,655
EMINA,https://www.tiktok.com/@izwanhs/video/7478630998394031378,92100,1387
EMINA,https://www.tiktok.com/@davinafujj/video/7534712146140204306,72200,16206
EMINA,https://www.tiktok.com/@vonvon_7/video/7524667091086036280,180200,744
EMINA,https://www.tiktok.com/@vivianmarguerre/video/7462236693207239941,30600,5795
EMINA,https://www.tiktok.com/@lul.iyyy/video/7542367687150750994,40700,612
EMINA,https://www.tiktok.com/@fannytann/video/7499720679101713670,4346,124
EMINA,https://www.youtube.com/watch?v=_chR5r2oxxo,2234,59
EMINA,https://www.youtube.com/watch?v=KBqDIlp2JyU,4283,116
EMINA,https://www.youtube.com/watch?v=vTufvQb6CUY,1219,57
EMINA,https://www.tiktok.com/@nikyrputra/video/7468285273776966918,88500,11451
EMINA,https://www.youtube.com/watch?v=Ai5KGicXpDI,17780,563
EMINA,https://www.youtube.com/watch?v=MYkuraTvcJw,3861,126
EMINA,https://www.tiktok.com/@ikaamaliaaaaa/video/7535742439349406981,206,1123
EMINA,https://www.youtube.com/watch?v=zD_HKWroGFM,5761,113
EMINA,https://www.tiktok.com/@tellaaatella/video/7469694125898550533,200400,504
EMINA,https://www.youtube.com/watch?v=tSI8gy2jNEc,4050,143
EMINA,https://www.youtube.com/watch?v=5Ma6qAzIlbw,952,60
EMINA,https://www.instagram.com/p/DI-kc2RS5BI,14698,146
EMINA,https://www.instagram.com/p/DMh9A4cTB64,44392,629
EMINA,https://www.tiktok.com/@najwabazlinn/video/7535742439349406981,33300,1061
EMINA,https://www.instagram.com/p/DM8GE3mSVa6,15851,364
EMINA,https://www.tiktok.com/@sejauhhh/video/7530131243329998086,858700,1062
EMINA,https://www.tiktok.com/@candisjoanette/video/7505012541676932407,10300,411
EMINA,https://www.tiktok.com/@dindafad29/video/7479828281638800646,758,43
EMINA,https://www.tiktok.com/@bukancecil/video/7534732857776803077,25900,1616
EMINA,https://www.youtube.com/watch?v=PuDRrwjGbCU,1922,89
EMINA,https://www.instagram.com/p/DMh-mVOS79O,49346,886
EMINA,https://www.instagram.com/p/DInevOPyVmb,14181,199
EMINA,https://www.tiktok.com/@kelvinpuaa/video/7483868982328429832,23200,2400
EMINA,https://www.tiktok.com/@ricalthablythe/video/7460449588625919240,2592,101
EMINA,https://www.tiktok.com/@fernandofenlee/video/7465605205858503941,107700,9879
HEAD & SHOULDER,https://www.tiktok.com/@tysnasaputra/video/7478177605888265477,30000,2182
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7523101016607280392,74100,1975
HEAD & SHOULDER,https://www.youtube.com/watch?v=hEgj0-WjZ74,28098,1965
HEAD & SHOULDER,https://www.instagram.com/p/DNqTLkrS2G5,5906,151
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7521968218764971271,74900,3183
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7539509800435027207,349400,16650
HEAD & SHOULDER,https://www.instagram.com/p/DMnOhw5T6n9,28652,1299
HEAD & SHOULDER,https://www.tiktok.com/@benkriswana/video/7555799804908014904,5370,56
HEAD & SHOULDER,https://www.tiktok.com/@atharalikhwan/video/7555910136754359564,14900,148
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7540282412299750663,102600,3565
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7529431155536399634,31300,1211
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7522045497083743506,62300,1485
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7538411652866198792,608900,39927
HEAD & SHOULDER,https://www.tiktok.com/@dhaturembulan_/video/7513852678103928070,7900000,17483
HEAD & SHOULDER,https://www.tiktok.com/@akhirnyadownloadt1ktok/video/7533165042674437383,64000,2338
HEAD & SHOULDER,https://www.tiktok.com/@boiyenpesek/video/7531754793971485960,8923,377
HEAD & SHOULDER,https://www.tiktok.com/@qamaraasr/video/7531729519527333126,6655,165
HEAD & SHOULDER,https://www.tiktok.com/@yantilyan07/video/7537952538688097544,92600,2597
HEAD & SHOULDER,https://www.youtube.com/watch?v=ujRJkwCXaDw,2279,38
HEAD & SHOULDER,https://www.tiktok.com/@hasbeeww/video/7532134582326414598,236000,4081
HEAD & SHOULDER,https://www.tiktok.com/@sayhiotoo/video/7536556010446589189,26100,1754
HEAD & SHOULDER,https://www.tiktok.com/@akhzalswan16/video/7486451599666351415,50600,5558
HEAD & SHOULDER,https://www.tiktok.com/@boiyenpesek/video/7515003630714555666,21800,314
HEAD & SHOULDER,https://www.instagram.com/p/DKy_s6zTx8M,14874,365
MAKARIZO,https://www.tiktok.com/@neilaresty08/video/7527288374411971846,8361,117
MAKARIZO,https://www.tiktok.com/@makarizoprofessional/video/7516434443414916360,17900,225
MAKARIZO,https://www.tiktok.com/@makarizoprofessional/video/7547636180024642824,559100,695
MAKARIZO,https://www.tiktok.com/@makarizoprofessional/video/7566253234264837383,56100,286
MAKARIZO,https://www.tiktok.com/@rizalhamzahnasution/video/7471168170762456326,26800,1163
MAKARIZO,https://www.tiktok.com/@makarizoprofessional/video/7514985309822635282,13000,125
MAKARIZO,https://www.tiktok.com/@dinshayang_/video/7486775820787191046,50800,673
MAKARIZO,https://www.tiktok.com/@syaniaseona/video/7566518491994426644,30800,171
MAKARIZO,https://www.tiktok.com/@makarizoprofessional/video/7559161914509643015,88100,183
MAKARIZO,https://www.instagram.com/p/DOvbvM-gcdW,40936,958
MAKARIZO,https://www.tiktok.com/@acessz/video/7480758739713150213,57800,3803
MAKARIZO,https://www.tiktok.com/@bintadytama/video/7461906291489787142,57400,5758
